Percentage of blocked calls (Sample Average),Percentage of dropped calls (Sample Average)
0.47895500725689405,0.7184325108853411
0.37109801353416283,0.7713017536200247
0.4009038559661783,0.6924702966688534
0.4153913423699169,0.6923189039498615
0.4147867850385679,0.8368505312181633
0.4888370056909383,1.0214504596527068
0.48709560159941845,0.8724100327153763
0.4966041042868619,0.7083911487621412
0.48543689320388345,0.8766845384726851
0.5037967289719626,0.8250584112149533
0.34144569560479476,0.6393025790047221
0.45058139534883723,0.6758720930232558
0.38036720064369833,0.753419647428864
0.356234096692112,0.8215194474736459
0.4511059371362049,0.989522700814901
0.3986951794128307,0.681406306632838
0.4641380810791211,0.7324679092029879
0.40017462165308504,0.5165890570430733
0.6049121784126522,0.8599956271408791
0.39167331544208317,0.7688402117937188
0.4163014899211218,0.8252994449313468
0.4425099746100834,0.7471889735219441
0.3278449657584147,0.6556899315168294
0.41364296081277213,0.7547169811320755
0.3846712149804035,0.6749891130788213
0.3625290023201856,0.8918213457076565
0.5647672145391355,0.8109477952356817
0.4069767441860465,0.7921511627906977
0.39921608477897946,0.8056906438266676
0.4561911658218682,0.6082548877624909
