Percentage of blocked calls (Sample Average),Percentage of dropped calls (Sample Average)
56.55382503110653,0.0
56.269626188325375,0.0
56.302991177103515,0.0
56.752694636492464,0.0
56.50549639299209,0.0
56.378529855572324,0.0
56.74746432869176,0.0
56.13612925403919,0.0
56.04708317164662,0.0
56.9408629877944,0.0
56.416319160827136,0.0
56.585114159177884,0.0
56.0350786245032,0.0
56.79418679204959,0.0
56.07464551997586,0.0
56.33675316837659,0.0
56.56001717844106,0.0
57.088270650867244,0.0
56.391978357023234,0.0
56.21077967850082,0.0
56.391942175270515,0.0
56.4402407566638,0.0
56.634623637456016,0.0
56.23898560068773,0.0
56.852097319023386,0.0
56.42477268828272,0.0
56.28006872852234,0.0
56.79494888755262,0.0
56.72031504152042,0.0
56.67649446652139,0.0
