Percentage of blocked calls (Sample Average),Percentage of dropped calls (Sample Average)
74.39798488664987,0.0
74.34680134680136,0.0
74.57075788061704,0.0
74.02654271085962,0.0
74.30129975082497,0.0
74.14429530201342,0.0
74.16526704736312,0.0
73.89625650495216,0.0
74.36939508951063,0.0
74.52018087422543,0.0
74.19127516778524,0.0
74.32128594919293,0.0
74.54313356624563,0.0
74.70309580998132,0.0
74.5196660295745,0.0
74.19051457745532,0.0
74.80436091231356,0.0
74.57820413913393,0.0
73.98682707171182,0.0
74.3656954666129,0.0
74.53917822910383,0.0
74.54819277108435,0.0
74.18053454362078,0.0
74.76744964197283,0.0
74.52378561146263,0.0
74.2351640250645,0.0
74.43185627136823,0.0
74.36713099383874,0.0
74.40653564134328,0.0
74.47057251653418,0.0
