Percentage of blocked calls (Sample Average),Percentage of dropped calls (Sample Average)
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
99.9980000799968,0.0
