Percentage of blocked calls (Sample Average),Percentage of dropped calls (Sample Average)
18.545385731407304,0.012615908660821296
19.362143800717117,0.0
19.305625313912607,0.0
18.60596902153381,0.0
18.96551724137931,0.018946570670708603
18.20829376384932,0.0
19.06592713979579,0.012605571662674902
19.341615690231443,0.0
18.829372563812395,0.0
19.112541816575142,0.006311935870731554
19.43083301922352,0.0
18.939728621016094,0.012622278321236982
19.243338360985422,0.006284565108094519
19.42089064757239,0.0062810124992148724
18.253269617706238,0.012575452716297788
19.16971147788837,0.012599218848431397
18.83170192611304,0.025260498894853177
18.92538064678495,0.0
19.011120185964693,0.006282590940503864
19.45667211671488,0.0
19.67748007780636,0.012549413314927527
19.12160892174676,0.0
19.570121569118935,0.0
18.894212583532973,0.012608750472828143
19.23028628829734,0.0
19.782009521423202,0.006264094211976949
19.505494505494507,0.0
19.831408054948486,0.0
19.18538973264717,0.006275888038157399
19.19318466549737,0.0
