Percentage of blocked calls (Sample Average),Percentage of dropped calls (Sample Average)
41.23386523020633,0.0
40.451335584894075,0.0
41.330069359445126,0.0
41.430395913154534,0.0
40.90466177752705,0.0
40.92486729277256,0.0
41.532586558044805,0.0
41.26756963966267,0.0
41.2758356723654,0.0
41.19718309859155,0.0
41.495174385946996,0.0
41.75796178343949,0.0
41.529693145387,0.0
41.69084338575864,0.0
40.819237823517426,0.0
41.57755372237499,0.0
42.05070880544688,0.0
41.65269947686526,0.0
41.73184357541899,0.0
41.37297903809864,0.0
42.04256185724468,0.0
41.34049629061141,0.0
41.604913206781035,0.0
42.034207988631174,0.0
41.5866239772323,0.0
41.476202596080434,0.0
41.079133038932035,0.0
41.77825116656523,0.0
42.42148384160219,0.0
42.131205853956,0.0
